id,name,prefecture,region,city,genre,lat,lng,opensAt,closesAt,days,menu,url
JP-10-B,Maebashi Night Caravan,Gunma,Kanto,Maebashi,Curry,36.3312,139.0109,12:30,21:00,0|1|5|6,Curry Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/gunma/night-caravan
JP-11-A,Saitama Street Bites,Saitama,Kanto,Saitama,Crepe,35.9269,139.7089,11:00,19:00,0|1|5|6,Crepe Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/saitama/street-bites
JP-11-B,Saitama Night Caravan,Saitama,Kanto,Saitama,Ramen,35.7969,139.5989,11:30,20:00,3|4|5|6,Ramen Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/saitama/night-caravan
JP-12-A,Chiba Street Bites,Chiba,Kanto,Chiba,Kebab,35.675,140.1833,12:00,20:00,3|4|5|6,Kebab Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/chiba/street-bites
JP-12-B,Chiba Night Caravan,Chiba,Kanto,Chiba,Coffee,35.545,140.0733,12:30,21:00,1|2|3|4|5,Coffee Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/chiba/night-caravan
JP-13-A,Tokyo Street Bites,Tokyo,Kanto,Tokyo,Curry,35.7595,139.7517,10:00,18:00,1|2|3|4|5,Curry Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/tokyo/street-bites
JP-13-B,Tokyo Night Caravan,Tokyo,Kanto,Tokyo,Vegan,35.6295,139.6417,11:30,20:00,2|3|4|5|6,Vegan Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/tokyo/night-caravan
JP-14-A,Yokohama Street Bites,Kanagawa,Kanto,Yokohama,Ramen,35.5178,139.7025,11:00,19:00,2|3|4|5|6,Ramen Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/kanagawa/street-bites
JP-14-B,Yokohama Night Caravan,Kanagawa,Kanto,Yokohama,Burger,35.3878,139.5925,12:30,21:00,0|1|5|6,Burger Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/kanagawa/night-caravan
JP-15-A,Niigata Street Bites,Niigata,Chubu,Niigata,Coffee,37.9722,139.0836,12:00,20:00,0|1|5|6,Coffee Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/niigata/street-bites
JP-15-B,Niigata Night Caravan,Niigata,Chubu,Niigata,Taco,37.8422,138.9736,11:30,20:00,3|4|5|6,Taco Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/niigata/night-caravan
JP-16-A,Toyama Street Bites,Toyama,Chubu,Toyama,Vegan,36.7653,137.2713,10:00,18:00,3|4|5|6,Vegan Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/toyama/street-bites
JP-16-B,Toyama Night Caravan,Toyama,Chubu,Toyama,Crepe,36.6353,137.1613,12:30,21:00,1|2|3|4|5,Crepe Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/toyama/night-caravan
JP-17-A,Kanazawa Street Bites,Ishikawa,Chubu,Kanazawa,Burger,36.6313,136.7162,11:00,19:00,1|2|3|4|5,Burger Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/ishikawa/street-bites
JP-17-B,Kanazawa Night Caravan,Ishikawa,Chubu,Kanazawa,Kebab,36.5013,136.6062,11:30,20:00,2|3|4|5|6,Kebab Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/ishikawa/night-caravan
JP-18-A,Fukui Street Bites,Fukui,Chubu,Fukui,Taco,36.1352,136.2816,12:00,20:00,2|3|4|5|6,Taco Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/fukui/street-bites
JP-18-B,Fukui Night Caravan,Fukui,Chubu,Fukui,Curry,36.0052,136.1716,12:30,21:00,0|1|5|6,Curry Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/fukui/night-caravan
JP-19-A,Kofu Street Bites,Yamanashi,Chubu,Kofu,Crepe,35.7342,138.6284,10:00,18:00,0|1|5|6,Crepe Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/yamanashi/street-bites
JP-19-B,Kofu Night Caravan,Yamanashi,Chubu,Kofu,Ramen,35.6042,138.5184,11:30,20:00,3|4|5|6,Ramen Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/yamanashi/night-caravan
JP-20-A,Nagano Street Bites,Nagano,Chubu,Nagano,Kebab,36.7213,138.241,11:00,19:00,3|4|5|6,Kebab Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/nagano/street-bites
JP-20-B,Nagano Night Caravan,Nagano,Chubu,Nagano,Coffee,36.5913,138.131,12:30,21:00,1|2|3|4|5,Coffee Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/nagano/night-caravan
JP-21-A,Gifu Street Bites,Gifu,Chubu,Gifu,Curry,35.4933,136.82,12:00,20:00,1|2|3|4|5,Curry Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/gifu/street-bites
JP-21-B,Gifu Night Caravan,Gifu,Chubu,Gifu,Vegan,35.3633,136.71,11:30,20:00,2|3|4|5|6,Vegan Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/gifu/night-caravan
JP-22-A,Shizuoka Street Bites,Shizuoka,Chubu,Shizuoka,Ramen,35.0456,138.4428,10:00,18:00,2|3|4|5|6,Ramen Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/shizuoka/street-bites
JP-22-B,Shizuoka Night Caravan,Shizuoka,Chubu,Shizuoka,Burger,34.9156,138.3328,12:30,21:00,0|1|5|6,Burger Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/shizuoka/night-caravan
JP-23-A,Nagoya Street Bites,Aichi,Chubu,Nagoya,Coffee,35.2515,136.9666,11:00,19:00,0|1|5|6,Coffee Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/aichi/street-bites
JP-23-B,Nagoya Night Caravan,Aichi,Chubu,Nagoya,Taco,35.1215,136.8566,11:30,20:00,3|4|5|6,Taco Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/aichi/night-caravan
JP-24-A,Tsu Street Bites,Mie,Kansai,Tsu,Vegan,34.8003,136.5686,12:00,20:00,3|4|5|6,Vegan Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/mie/street-bites
JP-24-B,Tsu Night Caravan,Mie,Kansai,Tsu,Crepe,34.6703,136.4586,12:30,21:00,1|2|3|4|5,Crepe Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/mie/night-caravan
JP-25-A,Otsu Street Bites,Shiga,Kansai,Otsu,Burger,35.0745,135.9286,10:00,18:00,1|2|3|4|5,Burger Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/shiga/street-bites
JP-25-B,Otsu Night Caravan,Shiga,Kansai,Otsu,Kebab,34.9445,135.8186,11:30,20:00,2|3|4|5|6,Kebab Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/shiga/night-caravan
JP-26-A,Kyoto Street Bites,Kyoto,Kansai,Kyoto,Taco,35.0816,135.8281,11:00,19:00,2|3|4|5|6,Taco Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/kyoto/street-bites
JP-26-B,Kyoto Night Caravan,Kyoto,Kansai,Kyoto,Curry,34.9516,135.7181,12:30,21:00,0|1|5|6,Curry Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/kyoto/night-caravan
JP-27-A,Osaka Street Bites,Osaka,Kansai,Osaka,Crepe,34.7637,135.5623,12:00,20:00,0|1|5|6,Crepe Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/osaka/street-bites
JP-27-B,Osaka Night Caravan,Osaka,Kansai,Osaka,Ramen,34.6337,135.4523,11:30,20:00,3|4|5|6,Ramen Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/osaka/night-caravan
JP-28-A,Kobe Street Bites,Hyogo,Kansai,Kobe,Kebab,34.7601,135.2555,10:00,18:00,3|4|5|6,Kebab Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/hyogo/street-bites
JP-28-B,Kobe Night Caravan,Hyogo,Kansai,Kobe,Coffee,34.6301,135.1455,12:30,21:00,1|2|3|4|5,Coffee Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/hyogo/night-caravan
JP-29-A,Nara Street Bites,Nara,Kansai,Nara,Curry,34.7551,135.8648,11:00,19:00,1|2|3|4|5,Curry Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/nara/street-bites
JP-29-B,Nara Night Caravan,Nara,Kansai,Nara,Vegan,34.6251,135.7548,11:30,20:00,2|3|4|5|6,Vegan Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/nara/night-caravan
JP-30-A,Wakayama Street Bites,Wakayama,Kansai,Wakayama,Ramen,34.296,135.2275,12:00,20:00,2|3|4|5|6,Ramen Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/wakayama/street-bites
JP-30-B,Wakayama Night Caravan,Wakayama,Kansai,Wakayama,Burger,34.166,135.1175,12:30,21:00,0|1|5|6,Burger Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/wakayama/night-caravan
JP-31-A,Tottori Street Bites,Tottori,Chugoku,Tottori,Coffee,35.5739,134.2983,10:00,18:00,0|1|5|6,Coffee Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/tottori/street-bites
JP-31-B,Tottori Night Caravan,Tottori,Chugoku,Tottori,Taco,35.4439,134.1883,11:30,20:00,3|4|5|6,Taco Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/tottori/night-caravan
JP-32-A,Matsue Street Bites,Shimane,Chugoku,Matsue,Vegan,35.5423,133.1105,11:00,19:00,3|4|5|6,Vegan Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/shimane/street-bites
JP-32-B,Matsue Night Caravan,Shimane,Chugoku,Matsue,Crepe,35.4123,133.0005,12:30,21:00,1|2|3|4|5,Crepe Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/shimane/night-caravan
JP-33-A,Okayama Street Bites,Okayama,Chugoku,Okayama,Burger,34.725,133.9795,12:00,20:00,1|2|3|4|5,Burger Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/okayama/street-bites
JP-33-B,Okayama Night Caravan,Okayama,Chugoku,Okayama,Kebab,34.595,133.8695,11:30,20:00,2|3|4|5|6,Kebab Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/okayama/night-caravan
JP-34-A,Hiroshima Street Bites,Hiroshima,Chugoku,Hiroshima,Taco,34.4553,132.5153,10:00,18:00,2|3|4|5|6,Taco Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/hiroshima/street-bites
JP-34-B,Hiroshima Night Caravan,Hiroshima,Chugoku,Hiroshima,Curry,34.3253,132.4053,12:30,21:00,0|1|5|6,Curry Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/hiroshima/night-caravan
JP-35-A,Yamaguchi Street Bites,Yamaguchi,Chugoku,Yamaguchi,Crepe,34.2485,131.5337,11:00,19:00,0|1|5|6,Crepe Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/yamaguchi/street-bites
JP-35-B,Yamaguchi Night Caravan,Yamaguchi,Chugoku,Yamaguchi,Ramen,34.1185,131.4237,11:30,20:00,3|4|5|6,Ramen Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/yamaguchi/night-caravan
JP-36-A,Tokushima Street Bites,Tokushima,Shikoku,Tokushima,Kebab,34.1358,134.6193,12:00,20:00,3|4|5|6,Kebab Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/tokushima/street-bites
JP-36-B,Tokushima Night Caravan,Tokushima,Shikoku,Tokushima,Coffee,34.0058,134.5093,12:30,21:00,1|2|3|4|5,Coffee Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/tokushima/night-caravan
JP-37-A,Takamatsu Street Bites,Kagawa,Shikoku,Takamatsu,Curry,34.4101,134.1034,10:00,18:00,1|2|3|4|5,Curry Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/kagawa/street-bites
JP-37-B,Takamatsu Night Caravan,Kagawa,Shikoku,Takamatsu,Vegan,34.2801,133.9934,11:30,20:00,2|3|4|5|6,Vegan Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/kagawa/night-caravan
JP-38-A,Matsuyama Street Bites,Ehime,Shikoku,Matsuyama,Ramen,33.9116,132.8257,11:00,19:00,2|3|4|5|6,Ramen Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/ehime/street-bites
JP-38-B,Matsuyama Night Caravan,Ehime,Shikoku,Matsuyama,Burger,33.7816,132.7157,12:30,21:00,0|1|5|6,Burger Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/ehime/night-caravan
JP-39-A,Kochi Street Bites,Kochi,Shikoku,Kochi,Coffee,33.6297,133.5911,12:00,20:00,0|1|5|6,Coffee Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/kochi/street-bites
JP-39-B,Kochi Night Caravan,Kochi,Shikoku,Kochi,Taco,33.4997,133.4811,11:30,20:00,3|4|5|6,Taco Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/kochi/night-caravan
JP-40-A,Fukuoka Street Bites,Fukuoka,Kyushu,Fukuoka,Vegan,33.6602,130.4617,10:00,18:00,3|4|5|6,Vegan Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/fukuoka/street-bites
JP-40-B,Fukuoka Night Caravan,Fukuoka,Kyushu,Fukuoka,Crepe,33.5302,130.3517,12:30,21:00,1|2|3|4|5,Crepe Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/fukuoka/night-caravan
JP-41-A,Saga Street Bites,Saga,Kyushu,Saga,Burger,33.3194,130.3588,11:00,19:00,1|2|3|4|5,Burger Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/saga/street-bites
JP-41-B,Saga Night Caravan,Saga,Kyushu,Saga,Kebab,33.1894,130.2488,11:30,20:00,2|3|4|5|6,Kebab Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/saga/night-caravan
JP-42-A,Nagasaki Street Bites,Nagasaki,Kyushu,Nagasaki,Taco,32.8203,129.9377,12:00,20:00,2|3|4|5|6,Taco Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/nagasaki/street-bites
JP-42-B,Nagasaki Night Caravan,Nagasaki,Kyushu,Nagasaki,Curry,32.6903,129.8277,12:30,21:00,0|1|5|6,Curry Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/nagasaki/night-caravan
JP-43-A,Kumamoto Street Bites,Kumamoto,Kyushu,Kumamoto,Crepe,32.8731,130.7679,10:00,18:00,0|1|5|6,Crepe Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/kumamoto/street-bites
JP-43-B,Kumamoto Night Caravan,Kumamoto,Kyushu,Kumamoto,Ramen,32.7431,130.6579,11:30,20:00,3|4|5|6,Ramen Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/kumamoto/night-caravan
JP-44-A,Oita Street Bites,Oita,Kyushu,Oita,Kebab,33.3082,131.6726,11:00,19:00,3|4|5|6,Kebab Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/oita/street-bites
JP-44-B,Oita Night Caravan,Oita,Kyushu,Oita,Coffee,33.1782,131.5626,12:30,21:00,1|2|3|4|5,Coffee Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/oita/night-caravan
JP-45-A,Miyazaki Street Bites,Miyazaki,Kyushu,Miyazaki,Curry,31.9811,131.4839,12:00,20:00,1|2|3|4|5,Curry Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/miyazaki/street-bites
JP-45-B,Miyazaki Night Caravan,Miyazaki,Kyushu,Miyazaki,Vegan,31.8511,131.3739,11:30,20:00,2|3|4|5|6,Vegan Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/miyazaki/night-caravan
JP-46-A,Kagoshima Street Bites,Kagoshima,Kyushu,Kagoshima,Ramen,31.6666,130.6171,10:00,18:00,2|3|4|5|6,Ramen Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/kagoshima/street-bites
JP-46-B,Kagoshima Night Caravan,Kagoshima,Kyushu,Kagoshima,Burger,31.5366,130.5071,12:30,21:00,0|1|5|6,Burger Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/kagoshima/night-caravan
JP-47-A,Naha Street Bites,Okinawa,Okinawa,Naha,Coffee,26.2824,127.7409,11:00,19:00,0|1|5|6,Coffee Signature;Local Pickles;Seasonal Drink,https://example.com/foodtrucks/okinawa/street-bites
JP-47-B,Naha Night Caravan,Okinawa,Okinawa,Naha,Taco,26.1524,127.6309,11:30,20:00,3|4|5|6,Taco Plate;House Sauce;Cold Brew,https://example.com/foodtrucks/okinawa/night-caravan
